index,file_name,model_valence,model_arousal,top_profiles
0,$uicideboy$ — $UICIDEBOY$ - ANTARCTICA (Lyric Video).mp4,4.4918,4.7441,"focus:0.773(affect=0.889,tag=0.306);dark:0.664(affect=0.676,tag=0.618);romantic:0.637(affect=0.743,tag=0.216)"
1,$uicideboy$ — $UICIDEBOY$ - Monochromatic.mp4,5.5182,6.7067,"energetic:0.800(affect=0.807,tag=0.773);party:0.731(affect=0.759,tag=0.617);romantic:0.707(affect=0.750,tag=0.535)"
2,$uicideboy$ — $UICIDEBOY$ - NOT EVEN GHOSTS ARE THIS EMPTY.mp4,5.3551,6.2898,"energetic:0.759(affect=0.768,tag=0.723);romantic:0.724(affect=0.766,tag=0.558);party:0.720(affect=0.726,tag=0.695)"
3,$uicideboy$ — $UICIDEBOY$ - O PANA!.mp4,5.8829,6.1324,"romantic:0.751(affect=0.809,tag=0.520);energetic:0.700(affect=0.773,tag=0.407);party:0.686(affect=0.751,tag=0.427)"
4,044 ROSE — 044 ROSE - все в наших руках.mp4,4.4527,3.9237,"focus:0.815(affect=0.944,tag=0.298);calm:0.772(affect=0.812,tag=0.614);melancholic:0.701(affect=0.705,tag=0.683)"
5,2Scratch — 2Scratch - EX. (prod. by 2Scratch).mp4,3.8974,4.0010,"melancholic:0.761(affect=0.742,tag=0.836);focus:0.756(affect=0.896,tag=0.197);calm:0.702(affect=0.796,tag=0.329)"
6,2Scratch — 2Scratch - NO LOVE feat. Swisha T (prod. by 2Scratch).mp4,4.7968,4.9317,"focus:0.705(affect=0.881,tag=0.000);dark:0.671(affect=0.676,tag=0.651);romantic:0.658(affect=0.768,tag=0.218)"
7,7clouds — Katy Perry - The One That Got Away (Lyrics).mp4,6.5011,7.1311,"energetic:0.844(affect=0.870,tag=0.741);party:0.822(affect=0.851,tag=0.707);happy:0.804(affect=0.830,tag=0.700)"
8,Bones - Topic — 90210.mp4,4.2268,3.3130,"focus:0.813(affect=0.927,tag=0.358);calm:0.798(affect=0.862,tag=0.543);melancholic:0.748(affect=0.748,tag=0.750)"
9,Botir Qodirov — Botir Qodirov - Koroleva Jana (Official Music Video).mp4,5.6337,5.6404,"romantic:0.793(affect=0.819,tag=0.691);energetic:0.681(affect=0.725,tag=0.504);happy:0.664(affect=0.710,tag=0.477)"
10,Bruno Mars — Bruno Mars - The Lazy Song (Official Music Video).mp4,6.8667,6.3064,"happy:0.840(affect=0.834,tag=0.866);romantic:0.820(affect=0.842,tag=0.733);party:0.797(affect=0.813,tag=0.730)"
11,Cassiopeia — Halsey - Got a boy back home in Michigan (Bad At Love) (Lyrics).mp4,6.0160,6.1579,"romantic:0.806(affect=0.816,tag=0.766);happy:0.763(affect=0.762,tag=0.767);party:0.755(affect=0.760,tag=0.734)"
12,CMH — cmh x motelblvck – барби (mood video).mp4,5.6287,6.4496,"energetic:0.768(affect=0.791,tag=0.676);romantic:0.767(affect=0.774,tag=0.741);party:0.733(affect=0.753,tag=0.650)"
13,cowboyclick — dragging [89361f3f].m4a,5.3117,5.5565,"focus:0.735(affect=0.825,tag=0.373);romantic:0.709(affect=0.797,tag=0.358);dark:0.675(affect=0.690,tag=0.613)"
14,cowboyclick — dragging.m4a,5.3117,5.5565,"focus:0.735(affect=0.825,tag=0.373);romantic:0.709(affect=0.797,tag=0.358);dark:0.675(affect=0.690,tag=0.613)"
15,CRIM — CRIM - KILLING ME.mp4,4.6182,4.7540,"focus:0.714(affect=0.893,tag=0.000);dark:0.663(affect=0.671,tag=0.629);romantic:0.649(affect=0.754,tag=0.232)"
16,deathmarried — deathmarried - dreams fallen (official music video).m4a,5.6380,7.2248,"energetic:0.820(affect=0.852,tag=0.693);party:0.726(affect=0.790,tag=0.468);dark:0.722(affect=0.740,tag=0.651)"
17,Deko — deko - flyyying.m4a,5.1415,6.2147,"dark:0.730(affect=0.740,tag=0.690);energetic:0.717(affect=0.753,tag=0.575);romantic:0.669(affect=0.755,tag=0.326)"
18,DGainz — Chief Keef - Love Sosa.m4a,4.3417,4.3403,"focus:0.730(affect=0.912,tag=0.000);melancholic:0.641(affect=0.693,tag=0.434);dark:0.624(affect=0.649,tag=0.524)"
19,DotComNirvan — YEAT - Trëndy way (feat. SeptembersRich) [Dir. by @DotComNirvan].m4a,5.2639,5.9758,"romantic:0.746(affect=0.775,tag=0.627);dark:0.726(affect=0.718,tag=0.755);energetic:0.696(affect=0.740,tag=0.523)"
20,"dreamscape — antent, øneheart - miss you (intro).m4a",2.9095,1.7032,"melancholic:0.848(affect=0.876,tag=0.733);calm:0.776(affect=0.850,tag=0.480);focus:0.724(affect=0.750,tag=0.616)"
21,dreamscape — øneheart - apathy.m4a,2.7046,1.8793,"melancholic:0.787(affect=0.898,tag=0.339);focus:0.757(affect=0.746,tag=0.799);calm:0.744(affect=0.832,tag=0.391)"
22,dreamscape — øneheart - nostalgia.m4a,3.0837,2.3399,"focus:0.800(affect=0.797,tag=0.809);melancholic:0.766(affect=0.868,tag=0.358);calm:0.756(affect=0.858,tag=0.348)"
23,dreamscape — øneheart - strain.m4a,2.9515,2.1455,"focus:0.795(affect=0.778,tag=0.863);melancholic:0.773(affect=0.880,tag=0.344);calm:0.759(affect=0.851,tag=0.391)"
24,Dua Lipa — Dua Lipa - New Rules (Official Music Video).mp4,6.1162,6.0617,"romantic:0.779(affect=0.828,tag=0.582);happy:0.771(affect=0.766,tag=0.793);party:0.752(affect=0.759,tag=0.722)"
25,EFREM — ВЛЮБЛЯЮТСЯ ТОЛЬКО ЛОХИ _ DOTA EDIT by @unusualmp4.m4a,4.7807,5.1422,"focus:0.690(affect=0.862,tag=0.000);romantic:0.657(affect=0.764,tag=0.233);dark:0.653(affect=0.693,tag=0.493)"
26,face x xxxtentacion — forever young.mp4,5.0956,5.2478,"romantic:0.754(affect=0.788,tag=0.614);focus:0.683(affect=0.854,tag=0.000);dark:0.664(affect=0.683,tag=0.587)"
27,Famoussl — Famous-One life (Official video).mp4,6.9830,6.0861,"romantic:0.846(affect=0.864,tag=0.773);happy:0.822(affect=0.829,tag=0.792);party:0.767(affect=0.800,tag=0.634)"
28,Forever Zaev — Bones - CtrlAltDelete.mp4,5.1293,5.0112,"focus:0.737(affect=0.875,tag=0.184);romantic:0.729(affect=0.796,tag=0.459);calm:0.634(affect=0.712,tag=0.322)"
29,Fueled By Ramen — twenty one pilots_ Stressed Out [OFFICIAL VIDEO].mp4,5.3792,5.6407,"romantic:0.780(affect=0.799,tag=0.704);energetic:0.707(affect=0.717,tag=0.665);happy:0.667(affect=0.691,tag=0.571)"
30,Gorillaz — Gorillaz - Feel Good Inc. (Official Video).mp4,5.4232,6.0821,"energetic:0.754(affect=0.754,tag=0.754);romantic:0.708(affect=0.782,tag=0.414);party:0.691(affect=0.719,tag=0.579)"
31,Hajime — TumaniYO - Freedom (Official Audio).mp4,4.8091,5.0197,"focus:0.699(affect=0.873,tag=0.000);romantic:0.661(affect=0.768,tag=0.231);dark:0.647(affect=0.682,tag=0.507)"
32,Harlem Fetty — Fetty Wap - Trap Queen (Official Video) Prod. By Tony Fadd.mp4,5.2035,5.2438,"romantic:0.764(affect=0.798,tag=0.629);focus:0.683(affect=0.854,tag=0.000);energetic:0.673(affect=0.679,tag=0.651)"
33,HeyMax — Juice WRLD - Ex Girlfriend (Unreleased) [Prod. Max Chris].mp4,4.4631,4.3034,"focus:0.737(affect=0.922,tag=0.000);melancholic:0.684(affect=0.686,tag=0.677);romantic:0.643(affect=0.739,tag=0.257)"
34,Hoobastank — Hoobastank - The Reason (Official Music Video).mp4,5.0802,5.1872,"romantic:0.788(affect=0.788,tag=0.788);focus:0.688(affect=0.860,tag=0.000);dark:0.634(affect=0.680,tag=0.450)"
35,IDLEGLANCE — [WHERE IS MY MIND] - LiL PEEP x PIXIES x BONES x $UICIDEBOY$ x POUYA.mp4,5.8144,6.3793,"energetic:0.792(affect=0.792,tag=0.791);romantic:0.757(affect=0.789,tag=0.627);party:0.701(affect=0.762,tag=0.457)"
36,Iurii Kaplan — Валентин Стрыкало - Гори.mp4,4.7295,5.4339,"dark:0.688(affect=0.716,tag=0.575);focus:0.669(affect=0.836,tag=0.000);energetic:0.667(affect=0.675,tag=0.633)"
37,Iurii Kaplan — Юрий Каплан - Дешевые драмы.mp4,4.6444,4.0236,"focus:0.818(affect=0.951,tag=0.284);calm:0.744(affect=0.803,tag=0.505);melancholic:0.708(affect=0.686,tag=0.796)"
38,Kanye West — I Wonder.mp4,4.4921,4.8002,"focus:0.708(affect=0.885,tag=0.000);dark:0.671(affect=0.680,tag=0.635);melancholic:0.668(affect=0.656,tag=0.717)"
39,Kanye West — Kanye West - Stronger.mp4,5.6130,6.5827,"energetic:0.789(affect=0.801,tag=0.737);romantic:0.743(affect=0.764,tag=0.657);party:0.742(affect=0.760,tag=0.669)"
40,kasek — Kanye West NHH.mp4,4.6607,5.3972,"dark:0.694(affect=0.717,tag=0.600);focus:0.671(affect=0.838,tag=0.000);energetic:0.662(affect=0.669,tag=0.636)"
41,Lil Peep — lil peep - benz truck (prod. smokeasac).mp4,5.3312,5.1903,"romantic:0.777(affect=0.810,tag=0.644);focus:0.724(affect=0.856,tag=0.194);energetic:0.675(affect=0.678,tag=0.661)"
42,Lil Peep — Lil Peep - crybaby (Official Video).mp4,3.4826,4.4548,"melancholic:0.735(affect=0.740,tag=0.712);focus:0.714(affect=0.846,tag=0.187);dark:0.643(affect=0.681,tag=0.492)"
43,Lil Peep — Lil Peep - Save That Shit (Official Video).mp4,4.1494,5.2969,"dark:0.714(affect=0.733,tag=0.639);focus:0.709(affect=0.832,tag=0.217);melancholic:0.648(affect=0.645,tag=0.657)"
44,Lil Peep — Lil Peep -- 16 Lines (Official Video).mp4,3.6611,4.3097,"focus:0.784(affect=0.866,tag=0.455);melancholic:0.761(affect=0.739,tag=0.847);calm:0.674(affect=0.763,tag=0.316)"
45,Lil Peep — lil peep w_ yung bruh - white tee.m4a,4.9441,4.8061,"focus:0.768(affect=0.893,tag=0.266);dark:0.683(affect=0.660,tag=0.773);romantic:0.647(affect=0.782,tag=0.106)"
46,Linkin Park — Lost [Official Music Video] - Linkin Park.mp4,6.2363,7.1466,"energetic:0.844(affect=0.868,tag=0.750);party:0.771(affect=0.833,tag=0.520);romantic:0.733(affect=0.753,tag=0.655)"
47,local-5005a420d61312d3.mp3,5.0476,5.1589,"focus:0.755(affect=0.862,tag=0.326);romantic:0.735(affect=0.786,tag=0.531);calm:0.654(affect=0.700,tag=0.470)"
48,Lyrical Lemonade — Juice WRLD - All Girls Are The Same (Official Music Video).mp4,4.8167,4.1526,"focus:0.812(affect=0.949,tag=0.266);calm:0.739(affect=0.791,tag=0.529);melancholic:0.696(affect=0.667,tag=0.809)"
49,Lyrical Lemonade — Juice WRLD - Lucid Dreams (Official Music Video).mp4,5.5435,5.7694,"romantic:0.804(affect=0.806,tag=0.795);energetic:0.708(affect=0.733,tag=0.608);happy:0.669(affect=0.709,tag=0.506)"
50,Marshmello — Marshmello x Lil Peep - Spotlight (Official Music Video).mp4,5.5422,6.6207,"energetic:0.793(affect=0.802,tag=0.758);romantic:0.754(affect=0.757,tag=0.742);party:0.744(affect=0.756,tag=0.693)"
51,"Mazzy Star — cry, cry.mp3",4.6625,4.0387,"focus:0.826(affect=0.951,tag=0.324);calm:0.767(affect=0.802,tag=0.629);melancholic:0.703(affect=0.684,tag=0.778)"
52,Microwave343 — WW3 - Ye (uncensored).mp4,4.4357,4.8511,"focus:0.726(affect=0.879,tag=0.114);dark:0.702(affect=0.686,tag=0.765);melancholic:0.660(affect=0.657,tag=0.671)"
53,Moshpxt — YEAT - MAD BOUT THAT ( Official Music Video ) [ Created by @MOSHPXT & @jackrottier ].m4a,6.3589,6.4258,"romantic:0.782(affect=0.814,tag=0.655);party:0.747(affect=0.798,tag=0.545);energetic:0.743(affect=0.807,tag=0.486)"
54,Motionless In White — Motionless In White - Another Life [OFFICIAL VIDEO].mp4,5.1407,7.2309,"energetic:0.832(affect=0.823,tag=0.868);dark:0.744(affect=0.782,tag=0.591);party:0.722(affect=0.750,tag=0.610)"
55,Nine Degrees North — Mahal Magmahal (Live at The Cozy Cove) - Esremborak.mp4,5.4806,5.0347,"romantic:0.826(affect=0.826,tag=0.826);focus:0.753(affect=0.866,tag=0.299);calm:0.652(affect=0.704,tag=0.446)"
56,oxxxymironofficial — ЛСП & Oxxxymiron - Безумие (Remix).mp4,5.9948,6.0909,"romantic:0.793(affect=0.819,tag=0.689);energetic:0.763(affect=0.772,tag=0.725);happy:0.737(affect=0.758,tag=0.655)"
57,PHARAOH - Topic — Pornozvezda.mp4,4.5555,4.6200,"focus:0.756(affect=0.902,tag=0.171);melancholic:0.680(affect=0.662,tag=0.749);calm:0.658(affect=0.751,tag=0.286)"
58,"Planet Music — Cheb Rezki - Ana Al Ghaltan (Remix) _ Tiktok , Instagram Trend music.mp4",5.5922,5.7566,"romantic:0.803(affect=0.810,tag=0.773);happy:0.710(affect=0.712,tag=0.700);party:0.696(affect=0.709,tag=0.642)"
59,Playboi Carti — Playboi Carti - R.I.P.m4a,5.4796,6.1533,"romantic:0.747(affect=0.782,tag=0.608);energetic:0.725(affect=0.762,tag=0.578);happy:0.716(affect=0.719,tag=0.701)"
60,Playboi Carti — Playboi Carti - Sky [Official Video].m4a,5.1085,5.8950,"romantic:0.755(affect=0.767,tag=0.708);energetic:0.706(affect=0.727,tag=0.622);happy:0.699(affect=0.680,tag=0.776)"
61,Playboi Carti — Playboi Carti - Vamp Anthem (Official Audio).m4a,5.1743,5.5996,"romantic:0.757(affect=0.784,tag=0.648);dark:0.673(affect=0.702,tag=0.558);party:0.668(affect=0.673,tag=0.647)"
